"0","tamaramorrison@hotmail.com","pbkdf2:sha256:260000$Vqp0nPwtTRMPuNg5$0502c8ce9ce657a20c5a0fb75060af668ff5e19010603d3e4bc8a2464200e295","Gary","Cross","711 Golden Overpass
West Andreaville, MA 71317","52.958961","143.143712","227.11"
"1","stephenschristine@yahoo.com","pbkdf2:sha256:260000$yXrfvHCRKQgH0zGB$275d4dd824d6945d2abb9b31f98072bf0795e39db19696d6c50cc106e342c2e0","Chelsea","Greer","Unit 0903 Box 2173
DPO AP 08507","65.610695","-32.247320","113.09"
"2","jacqueline78@yahoo.com","pbkdf2:sha256:260000$fJrHIANxa3OE6Z4T$ecc7f09e35c487394f8afe975e8858fe0c321b260b4bb2500eec85665a0004b4","Jasmine","Perry","76960 Savage Port
Bartonton, NV 08874","36.600983","40.066283","309.96"
"3","danny30@yahoo.com","pbkdf2:sha256:260000$yFL4VNg1O3hGTTqE$083619eae8636f3c4176dbe5ea770105d4bb2d1b6d9397fdf1974bc35e689a15","Steven","Bowman","22455 Higgins Junction Apt. 042
New Keith, OH 17493","-41.0853825","-126.215901","438.66"
"4","jward@gmail.com","pbkdf2:sha256:260000$pAiRCDPt095MsBzv$45ead05627dbbbfd16fb3130a0b305ac2ee4f0ae613fa08952ae8aed4f59b3f8","Daniel","Duarte","731 Sanders Fords
Port Jasonberg, ID 60585","-72.327639","-134.543372","249.18"
"5","melissayates@hotmail.com","pbkdf2:sha256:260000$v98ZPRtcNR5VvHFz$78b6b5c902815cea76be6031111488b93e0345d9dcf59dd52475583db3ddaa38","Joan","Atkins","809 Erika Valley Apt. 634
Petersenfort, WY 51431","66.4839605","-21.954682","379.23"
"6","stanleyclarke@gmail.com","pbkdf2:sha256:260000$xf8V1vUQ0O5zmzyN$8fc8c7dbf040a77c21b6e1a5cbb126d27ecebede06a766e0b99192f40e67894a","Ashley","Dunn","519 Kramer Crossroad Suite 418
North Kimberly, MN 99672","35.165804","27.598858","461.05"
"7","eric22@gmail.com","pbkdf2:sha256:260000$d19Gn6FDnD24s7x1$d503b8b1d0370b343f4f4c66df495af1c3f526a94c09f4a7cfaf9af2ac1fa0e7","Melissa","Cantu","420 Michael Mountains Suite 485
New Victoria, ND 76634","21.444052","-96.163867","260.31"
"8","bramirez@gmail.com","pbkdf2:sha256:260000$JYJwhMaAhZ9syVWp$f9b44a307100a6a115516ecce8d7404e168a418f91003d644504944f3dc1f953","Christina","Smith","489 Roger Terrace
Davisfort, IN 71770","11.047629","39.379532","452.85"
"9","kellypeter@gmail.com","pbkdf2:sha256:260000$nAFFDqoYUssPz23f$cacb93556ff38dea675ed87a9f18fcea955a96a7d22d0f3b40c45cd33ba4ebe1","Melissa","James","637 Neal Island Suite 074
Lake Tyler, RI 28775","49.5419055","-107.833532","269.08"
"10","fcarpenter@yahoo.com","pbkdf2:sha256:260000$JscUYhreuTv6pm18$dddae079324b4c79ca5dd9d4f077d4ab6d6a89cdc57469058e53dad133c37048","Amanda","Schultz","491 Wise Knoll
Ellishaven, SD 72221","-50.4055775","101.407260","243.27"
"11","allenmargaret@gmail.com","pbkdf2:sha256:260000$vUsvpcAej8kfpeYT$9fb0a8b252ebb308670536f4b12cafbf0a09df532f33f4aa2fbc4cd4479510d4","Danielle","Daniel","48107 Hardy Causeway
Wernermouth, DE 11722","-2.719965","-42.829557","452.27"
"12","jeffrey31@hotmail.com","pbkdf2:sha256:260000$vTwbsHzF7PMY0WSK$53bd48ef734920d9fbfad05988b44b8f1b7726271585b9bc3ad5b2eb6c2df4c7","Alan","Mendez","886 David Rue
Davidshire, IN 88959","4.5170765","-8.417671","345.41"
"13","cooperelizabeth@gmail.com","pbkdf2:sha256:260000$XsaYl7WX1xMdOvx6$cbfba1ba60713b5bc1c38788e3da225699cb2d8def8eb844b1bbf22d10a79a17","Matthew","Perez","250 Burton Burg
North Alexander, MD 09223","4.8818415","146.685456","229.55"
